          Arctic                 high-north                mid-north                eq-north                 eq-south                mid-shouth               Southern Oc
   5.0536355814600043e+01   5.0482018592891606e+01   5.0415283714510643e+01   5.0306266910593635e+01   5.0306266910593635e+01   5.0415283714510643e+01   5.0489928711076480e+01
   1.5164622446046218e+02   1.5148313482958503e+02   1.5128283455172630e+02   1.5095562816503411e+02   1.5095562816503411e+02   1.5128283455172630e+02   1.5150687652888905e+02
   2.5280556760515893e+02   2.5253362183346002e+02   2.5219962890532889e+02   2.5165402541338480e+02   2.5165402541338480e+02   2.5219962890532889e+02   2.5257321020782905e+02
   3.5401430330591103e+02   3.5363339792943407e+02   3.5316558542821150e+02   3.5240137784242160e+02   3.5240137784242160e+02   3.5316558542821150e+02   3.5368884803388033e+02
   4.5527234949163989e+02   4.5478238131465559e+02   4.5418062264614736e+02   4.5319760451285555e+02   4.5319760451285555e+02   4.5418062264614736e+02   4.5485370816518099e+02
   5.5657962396612504e+02   5.5598049006164376e+02   5.5524465896090817e+02   5.5404262436241720e+02   5.5404262436241720e+02   5.5524465896090817e+02   5.5606770863516465e+02
   6.5793604441119282e+02   6.5722764212146092e+02   6.5635761265341580e+02   6.5493635620897351e+02   6.5493635620897351e+02   6.5635761265341580e+02   6.5733076735573661e+02
   7.5934152838994294e+02   7.5852375532692088e+02   7.5751940188692924e+02   7.5587871875368171e+02   7.5587871875368171e+02   7.5751940188692924e+02   7.5864280212048425e+02
   8.6079599335000989e+02   8.5986874739583254e+02   8.5872994471026664e+02   8.5686963058417302e+02   8.5686963058417302e+02   8.5872994471026664e+02   8.6000373060792185e+02
   9.6229935662685625e+02   9.6126253593427566e+02   9.5998915906105867e+02   9.5790901017777423e+02   9.5790901017777423e+02   9.5998915906105867e+02   9.6141347038477193e+02
   1.0638515354471042e+03   1.0627050384399147e+03   1.0612969627690395e+03   1.0589967759047602e+03   1.0589967759047602e+03   1.0612969627690395e+03   1.0628719389092785e+03
   1.1654524469318997e+03   1.1641961723053425e+03   1.1626532735593707e+03   1.1601328460316411e+03   1.1601328460316411e+03   1.1626532735593707e+03   1.1643790535345559e+03
   1.2671020081003121e+03   1.2657358548214643e+03   1.2640580090559990e+03   1.2613171387244852e+03   1.2613171387244852e+03   1.2640580090559990e+03   1.2659347315119737e+03
   1.3688001358727688e+03   1.3673240031809105e+03   1.3655110867850487e+03   1.3625495720522724e+03   1.3625495720522724e+03   1.3655110867850487e+03   1.3675388899945740e+03
   1.4705467470745250e+03   1.4689605344814893e+03   1.4670124241782494e+03   1.4638300639902836e+03   1.4638300639902836e+03   1.4670124241782494e+03   1.4691914460405253e+03
   1.5723417584391648e+03   1.5706453657296690e+03   1.5685619385763957e+03   1.5651585324235248e+03   1.5651585324235248e+03   1.5685619385763957e+03   1.5708923166166078e+03
   1.6741850866121424e+03   1.6723784138440965e+03   1.6701595472328406e+03   1.6665348951501787e+03   1.6665348951501787e+03   1.6701595472328406e+03   1.6726414186017364e+03
   1.7760766481543531e+03   1.7741595956591530e+03   1.7718051673170296e+03   1.7679590698851014e+03   1.7679590698851014e+03   1.7718051673170296e+03   1.7744386687905167e+03
   1.8780163595457411e+03   1.8759888279285381e+03   1.8734987159180573e+03   1.8694309742633402e+03   1.8694309742633402e+03   1.8734987159180573e+03   1.8762839838968332e+03
   1.9800041371889427e+03   1.9778660273288947e+03   1.9752401100482700e+03   1.9709505258436927e+03   1.9709505258436927e+03   1.9752401100482700e+03   1.9781772805574781e+03
   2.0820398974129603e+03   2.0797911104634627e+03   2.0770292666468922e+03   2.0725176421122987e+03   2.0725176421122987e+03   2.0770292666468922e+03   2.0801184753358075e+03
   2.1841235564768726e+03   2.1817639938657690e+03   2.1788661025836941e+03   2.1741322404862613e+03   2.1741322404862613e+03   2.1788661025836941e+03   2.1821074847254317e+03
   2.2862550305735840e+03   2.2837845940033517e+03   2.2807505346626899e+03   2.2757942383173067e+03   2.2757942383173067e+03   2.2807505346626899e+03   2.2841442251539479e+03
   2.3884342358335998e+03   2.3858528272815201e+03   2.3826824796258702e+03   2.3775035528954745e+03   2.3775035528954745e+03   2.3826824796258702e+03   2.3862286129866980e+03
   2.4906610883288381e+03   2.4879686100471458e+03   2.4846618541569665e+03   2.4792601014528395e+03   2.4792601014528395e+03   2.4846618541569665e+03   2.4883605645305629e+03
   2.5929355040764831e+03   2.5901318585924851e+03   2.5866885748852505e+03   2.5810638011672709e+03   2.5810638011672709e+03   2.5866885748852505e+03   2.5905399960377949e+03
   2.6952573990428582e+03   2.6923424891590435e+03   2.6887625583893737e+03   2.6829145691662243e+03   2.6829145691662243e+03   2.6887625583893737e+03   2.6927668237098760e+03
