     Antarctic_slope            Shelf_press             SO_press_down_mod
   2.5634450379710116e-01   0.0000000000000000e+00   0.0000000000000000e+00
   2.5532019555272134e-01   2.0204050158972739e+00   2.0193595768777000e+00
   2.5429588730834163e-01   4.0408298544577681e+00   4.0387389563825717e+00
   2.5327157906396180e-01   6.0612745150288267e+00   6.0581381378629890e+00
   2.5224727081958209e-01   8.0817389969577746e+00   8.0775571206672989e+00
   2.5122296257520227e-01   1.0102223299591920e+01   1.0096995904143835e+01
   2.5019865433082256e-01   1.2122727422278535e+01   1.2116454487640899e+01
   2.4917434608644273e-01   1.4143251364364883e+01   1.4135932870506782e+01
   2.4815003784206296e-01   1.6163795125198206e+01   1.6155431052089742e+01
   2.4712572959768325e-01   1.8184358704125714e+01   1.8174949031738031e+01
   2.4610142135330343e-01   2.0204942100494605e+01   2.0194486808799859e+01
   2.4507711310892369e-01   2.2225545313652052e+01   2.2214044382623428e+01
   2.4405280486454389e-01   2.4246168342945204e+01   2.4233621752556918e+01
   2.4302849662016415e-01   2.6266811187721196e+01   2.6253218917948487e+01
   2.4200418837578436e-01   2.8287473847327124e+01   2.8272835878146260e+01
   2.4097988013140462e-01   3.0308156321110090e+01   3.0292472632498352e+01
   2.3995557188702482e-01   3.2328858608417143e+01   3.2312129180352869e+01
   2.3893126364264508e-01   3.4349580708595333e+01   3.4331805521057866e+01
   2.3790695539826534e-01   3.6370322620991693e+01   3.6351501653961400e+01
   2.3688264715388560e-01   3.8391084344953200e+01   3.8371217578411482e+01
   2.3585833890950580e-01   4.0411865879826863e+01   4.0390953293756127e+01
   2.3483403066512601e-01   4.2432667224959602e+01   4.2410708799343318e+01
   2.3380972242074624e-01   4.4453488379698378e+01   4.4430484094521027e+01
   2.3278541417636647e-01   4.6474329343390096e+01   4.6450279178637174e+01
   2.3176110593198671e-01   4.8495190115381654e+01   4.8470094051039695e+01
   2.3073679768760694e-01   5.0516070695019920e+01   5.0489928711076480e+01
   2.2971248944322717e-01   5.2536971081651743e+01   5.2509783158095409e+01
   2.2868818119884740e-01   5.4557891274623941e+01   5.4529657391444331e+01
   2.2766387295446763e-01   5.6578831273283335e+01   5.6549551410471103e+01
   2.2663956471008789e-01   5.8599791076976707e+01   5.8569465214523497e+01
   2.2561525646570812e-01   6.0620770685050815e+01   6.0589398802949326e+01
   2.2459094822132833e-01   6.2641770096852412e+01   6.2609352175096362e+01
   2.2356663997694856e-01   6.4662789311728190e+01   6.4629325330312341e+01
   2.2254233173256879e-01   6.6683828329024891e+01   6.6649318267944992e+01
   2.2151802348818903e-01   6.8704887148089171e+01   6.8669330987342050e+01
   2.2049371524380926e-01   7.0725965768267670e+01   7.0689363487851153e+01
   2.1946940699942949e-01   7.2747064188907046e+01   7.2709415768819966e+01
   2.1844509875504972e-01   7.4768182409353898e+01   7.4729487829596167e+01
   2.1742079051066995e-01   7.6789320428954838e+01   7.6749579669527350e+01
   2.1639648226629019e-01   7.8810478247056423e+01   7.8769691287961138e+01
   2.1537217402191039e-01   8.0831655863005182e+01   8.0789822684245081e+01
   2.1434786577753062e-01   8.2852853276147684e+01   8.2809973857726717e+01
   2.1332355753315085e-01   8.4874070485830430e+01   8.4830144807753612e+01
   2.1229924928877111e-01   8.6895307491399862e+01   8.6850335533673274e+01
   2.1127494104439135e-01   8.8916564292202494e+01   8.8870546034833211e+01
   2.1025063280001158e-01   9.0937840887584755e+01   9.0890776310580861e+01
   2.0922632455563184e-01   9.2959137276893017e+01   9.2911026360263676e+01
   2.0820201631125207e-01   9.4980453459473779e+01   9.4931296183229122e+01
   2.0717770806687230e-01   9.7001789434673313e+01   9.6951585778824565e+01
   2.0615339982249251e-01   9.9023145201838034e+01   9.8971895146397372e+01
   2.0512909157811274e-01   1.0104452076031430e+02   1.0099222428529499e+02
   2.0410478333373297e-01   1.0306591610944838e+02   1.0301257319486467e+02
   2.0308047508935320e-01   1.0508733124858661e+02   1.0503294187445381e+02
   2.0205616684497343e-01   1.0710876617707521e+02   1.0705333032340965e+02
   2.0103185860059367e-01   1.0913022089426046e+02   1.0907373854107949e+02
   2.0000755035621390e-01   1.1115169539948860e+02   1.1109416652681062e+02
   1.9898324211183413e-01   1.1317318969210582e+02   1.1311461427995025e+02
   1.9795893386745436e-01   1.1519470377145834e+02   1.1513508179984559e+02
   1.9693462562307459e-01   1.1721623763689227e+02   1.1715556908584384e+02
   1.9591031737869483e-01   1.1923779128775378e+02   1.1917607613729218e+02
   1.9488600913431506e-01   1.2125936472338901e+02   1.2119660295353775e+02
   1.9386170088993529e-01   1.2328095794314412e+02   1.2321714953392767e+02
   1.9283739264555552e-01   1.2530257094636504e+02   1.2523771587780911e+02
   1.9181308440117575e-01   1.2732420373239798e+02   1.2725830198452910e+02
   1.9078877615679599e-01   1.2934585630058891e+02   1.2927890785343470e+02
   1.8976446791241622e-01   1.3136752865028384e+02   1.3129953348387301e+02
   1.8874015966803648e-01   1.3338922078082877e+02   1.3332017887519106e+02
   1.8771585142365671e-01   1.3541093269156971e+02   1.3534084402673582e+02
   1.8669154317927694e-01   1.3743266438185259e+02   1.3736152893785422e+02
   1.8566723493489715e-01   1.3945441585102336e+02   1.3938223360789331e+02
   1.8464292669051738e-01   1.4147618709842789e+02   1.4140295803620000e+02
   1.8361861844613761e-01   1.4349797812341214e+02   1.4342370222212122e+02
   1.8259431020175784e-01   1.4551978892532196e+02   1.4544446616500389e+02
   1.8157000195737807e-01   1.4754161950350311e+02   1.4746524986419482e+02
   1.8054569371299831e-01   1.4956346985730158e+02   1.4948605331904091e+02
   1.7952138546861854e-01   1.5158533998606305e+02   1.5150687652888905e+02
   1.7801588058463000e-01   1.5360722988913335e+02   1.5352771949308598e+02
   1.7651037570064146e-01   1.5562913956585828e+02   1.5554858221097851e+02
   1.7500487081665292e-01   1.5765106901558352e+02   1.5756946468191342e+02
   1.7349936593266441e-01   1.5967301823765484e+02   1.5959036690523752e+02
   1.7199386104867587e-01   1.6169498723141791e+02   1.6161128888029745e+02
   1.7048835616468730e-01   1.6371697599621845e+02   1.6363223060643989e+02
   1.6898285128069876e-01   1.6573898453140205e+02   1.6565319208301167e+02
   1.6747734639671022e-01   1.6776101283631453e+02   1.6767417330935942e+02
   1.6597184151272168e-01   1.6978306091030123e+02   1.6969517428482970e+02
   1.6446633662873314e-01   1.7180512875270796e+02   1.7171619500876923e+02
   1.6296083174474460e-01   1.7382721636288028e+02   1.7373723548052459e+02
   1.6145532686075606e-01   1.7584932374016364e+02   1.7575829569944236e+02
   1.5994982197676752e-01   1.7787145088390366e+02   1.7777937566486909e+02
   1.5844431709277898e-01   1.7989359779344585e+02   1.7980047537615130e+02
   1.5693881220879041e-01   1.8191576446813568e+02   1.8182159483263564e+02
   1.5543330732480187e-01   1.8393795090731862e+02   1.8384273403366848e+02
   1.5392780244081333e-01   1.8596015711034016e+02   1.8586389297859634e+02
   1.5242229755682482e-01   1.8798238307654566e+02   1.8788507166676567e+02
   1.5091679267283628e-01   1.9000462880528059e+02   1.8990627009752296e+02
   1.4941128778884774e-01   1.9202689429589034e+02   1.9192748827021461e+02
   1.4790578290485920e-01   1.9404917954772029e+02   1.9394872618418697e+02
   1.4640027802087066e-01   1.9607148456011572e+02   1.9596998383878650e+02
   1.4489477313688212e-01   1.9809380933242204e+02   1.9799126123335944e+02
   1.4338926825289358e-01   2.0011615386398444e+02   2.0001255836725224e+02
   1.4188376336890504e-01   2.0213851815414830e+02   2.0203387523981118e+02
   1.4037825848491650e-01   2.0416090220225894e+02   2.0405521185038256e+02
   1.3887275360092796e-01   2.0618330600766146e+02   2.0607656819831263e+02
   1.3736724871693942e-01   2.0820572956970119e+02   2.0809794428294771e+02
   1.3586174383295088e-01   2.1022817288772330e+02   2.1011934010363387e+02
   1.3435623894896234e-01   2.1225063596107293e+02   2.1214075565971751e+02
   1.3285073406497380e-01   2.1427311878909532e+02   2.1416219095054475e+02
   1.3134522918098526e-01   2.1629562137113558e+02   2.1618364597546170e+02
   1.2983972429699672e-01   2.1831814370653882e+02   2.1820512073381460e+02
   1.2833421941300818e-01   2.2034068579465008e+02   2.2022661522494960e+02
   1.2682871452901964e-01   2.2236324763481448e+02   2.2224812944821267e+02
   1.2532320964503110e-01   2.2438582922637715e+02   2.2426966340294999e+02
   1.2381770476104256e-01   2.2640843056868314e+02   2.2629121708850764e+02
   1.2231219987705402e-01   2.2843105166107733e+02   2.2831279050423171e+02
   1.2080669499306548e-01   2.3045369250290483e+02   2.3033438364946812e+02
   1.1930119010907694e-01   2.3247635309351057e+02   2.3235599652356285e+02
   1.1779568522508840e-01   2.3449903343223946e+02   2.3437762912586206e+02
   1.1629018034109986e-01   2.3652173351843649e+02   2.3639928145571159e+02
   1.1478467545711132e-01   2.3854445335144663e+02   2.3842095351245734e+02
   1.1327917057312278e-01   2.4056719293061460e+02   2.4044264529544537e+02
   1.1177366568913424e-01   2.4258995225528554e+02   2.4246435680402152e+02
   1.1026816080514570e-01   2.4461273132480397e+02   2.4448608803753163e+02
   1.0876265592115716e-01   2.4663553013851498e+02   2.4650783899532166e+02
   1.0725715103716862e-01   2.4865834869576329e+02   2.4852960967673732e+02
   1.0575164615318008e-01   2.5068118699589380e+02   2.5055140008112457e+02
   1.0424614126919154e-01   2.5270404503825102e+02   2.5257321020782905e+02
   1.0309855823566311e-01   2.5472692282217992e+02   2.5459504005619672e+02
   1.0195097520213467e-01   2.5674982034702515e+02   2.5661688962557321e+02
   1.0080339216860625e-01   2.5877273761213144e+02   2.5863875891530438e+02
   9.9655809135077822e-02   2.6079567461684348e+02   2.6066064792473577e+02
   9.8508226101549384e-02   2.6281863136050595e+02   2.6268255665321317e+02
   9.7360643068020947e-02   2.6484160784246342e+02   2.6470448510008237e+02
   9.6213060034492523e-02   2.6686460406206066e+02   2.6672643326468886e+02
   9.5065477000964085e-02   2.6888762001864211e+02   2.6874840114637840e+02
   9.3917893967435662e-02   2.7091065571155241e+02   2.7077038874449653e+02
   9.2770310933907224e-02   2.7293371114013621e+02   2.7279239605838882e+02
   9.1622727900378800e-02   2.7495678630373806e+02   2.7481442308740094e+02
   9.0475144866850363e-02   2.7697988120170231e+02   2.7683646983087834e+02
   8.9327561833321939e-02   2.7900299583337357e+02   2.7885853628816665e+02
